Location;Attendance_Numbers;Visitor_Demographics;;Economic_Impact;Music_Genre
 Mexico;40000;25-60; Jazz Fans;MXN£20£million;Jazz
 USA;70000;18-50; Art and Music Fans;USD£40£million;Various
 USA;20000;25-60; Classical Music Fans;USD£8£million;Classical
 Spain;50000;18-35; Rock and Pop Fans;£22£million;Rock/Pop
 UK;30000;18-40; Rock and Alternative Fans;£15£million;Rock/Alternative
 UK;80000;18-35; Rock and Alternative Fans;£35£million;Rock/Alternative
 Germany;35000;18-40; Electronic and Rock Fans;£18£million;Electronic/Rock
 Hungary;20000;25-60; Jazz Fans;£12£million;Jazz
 Sweden;20000;18-60; Film and Music Fans;SEK£8£million;Various
 Germany;25000;18-35; Electronic and Alternative Fans;£12£million;Electronic/Alternative
 Romania;50000;18-35; Electronic and Rock Fans;£25£million;Electronic/Rock
 UK;20000;18-35; Emerging Artists and Indie Fans;£10£million;Indie
 Canada;30000;25-60; Jazz Fans;CAD£10£million;Jazz
 Sweden;25000;18-50; Various Music Genres;SEK£12£million;Various
 UK;60000;18-40; Rock and Pop Fans;£30£million;Rock/Pop
 Italy;25000;18-50; Classical and Jazz Fans;£10£million;Classical/Jazz
 Netherlands;60000;18-35; LGBTQ+ and Pop Fans;£30£million;Pop
 USA;40000;25-60; Art and Music Enthusiasts;USD£20£million;Various
 Norway;35000;18-35; Rock and Indie Fans;NOK£15£million;Rock/Indie
 Montenegro;50000;18-35; EDM and Techno Fans;£20£million;EDM/Techno
 Spain;30000;18-35; Pop and Indie Fans;£12£million;Pop/Indie
 Germany;40000;18-45; Stoner Rock and Metal Fans;£25£million;Stoner Rock/Metal
 USA;25000;25-60; Various Arts and Music Fans;USD£10£million;Various
 Mexico;50000;18-35; Rock and Latin Music Fans;MXN£25£million;Rock/Latin
 Belgium;30000;18-35; Dark and Electronic Fans;£15£million;Dark/Electronic
 Japan;60000;18-35; Rock and Electronic Fans;JPY£40£million;Rock/Electronic
 Spain;25000;25-60; Classical and Jazz Fans;£12£million;Classical/Jazz
 UK;35000;18-35; Indie and Rock Fans;£15£million;Indie/Rock
 UK;40000;25-60; Folk and Celtic Music Fans;£20£million;Folk/Celtic
 Chile;50000;18-35; Rock and Electronic Fans;CLP£20£million;Rock/Electronic
 Norway;30000;25-60; Classical and Folk Fans;NOK£20£million;Classical/Folk
 Hungary;20000;25-60; Classical Music Fans;£15£million;Classical
 Ireland;50000;18-40; Indie and Electronic Fans;£30£million;Indie/Electronic
 Switzerland;35000;25-60; Jazz and Blues Fans;CHF£15£million;Jazz/Blues
 Argentina;60000;18-35; Rock and Electronic Fans;ARS£20£million;Rock/Electronic
 Croatia;45000;18-30; EDM and Beach Fans;£25£million;EDM
 UK;25000;18-35; Folk and Acoustic Fans;£12£million;Folk/Acoustic
 USA;75000;20-40; Hip-Hop and R&B Fans;USD£35£million;Hip-Hop/R&B
 Brazil;50000;18-35; Samba and Reggae Fans;BRL£20£million;Samba/Reggae
 Australia;30000;18-30; Indie Rock Fans;AU$15£million;Indie Rock
 Canada;80000;18-40; Rock and Alternative Fans;CAD£50£million;Rock/Alternative
 Japan;40000;20-40; J-Pop and Rock Fans;JPY£25£million;J-Pop/Rock
 South Korea;60000;18-35; K-Pop Fans;KRW£40£million;K-Pop
 India;70000;18-35; Bollywood and Pop Fans;INR£50£million;Bollywood/Pop
 Italy;35000;18-35; Classical and Opera Fans;£20£million;Classical/Opera
 Portugal;30000;18-35; Fado and Pop Fans;£15£million;Fado/Pop
 Austria;25000;18-40; Classical and Electronic Fans;£12£million;Classical/Electronic
 New Zealand;20000;18-35; Indie and Pop Fans;NZD£10£million;Indie/Pop
 South Africa;50000;18-40; Afrobeat and Jazz Fans;ZAR£30£million;Afrobeat/Jazz
 Turkey;45000;18-35; Rock and Pop Fans;TRY£20£million;Rock/Pop
 UAE;40000;18-40; International Music Fans;AED£35£million;Various
 Russia;60000;18-35; Rock and Pop Fans;RUB£25£million;Rock/Pop
 Czech Republic;50000;18-35; Rock and Metal Fans;CZK£30£million;Rock/Metal
 Colombia;30000;18-35; Salsa and Reggaeton Fans;COP£15£million;Salsa/Reggaeton
 Thailand;40000;18-35; EDM and Pop Fans;THB£20£million;EDM/Pop
 Indonesia;35000;18-30; Pop and Indie Fans;IDR£10£billion;Pop/Indie
 Malaysia;25000;18-35; Rock and Pop Fans;MYR£15£million;Rock/Pop
 Philippines;45000;18-35; OPM and Pop Fans;PHP£20£million;OPM/Pop
 Vietnam;30000;18-35; Pop and EDM Fans;VND£10£billion;Pop/EDM
 Singapore;40000;18-40; International Music Fans;SGD£30£million;Various
 Egypt;50000;18-35; Pop and Traditional Music Fans;EGP£25£million;Pop/Traditional
 Morocco;25000;18-35; Gnawa and Jazz Fans;MAD£10£million;Gnawa/Jazz
 Kenya;30000;18-40; Afrobeat and Pop Fans;KES£15£million;Afrobeat/Pop
 Tanzania;20000;18-35; Bongo Flava and Pop Fans;TZS£10£billion;Bongo Flava/Pop
 Nigeria;70000;18-35; Afrobeats and Hip-Hop Fans;NGN£50£million;Afrobeats/Hip-Hop
 Ghana;35000;18-35; Highlife and Hiplife Fans;GHS£15£million;Highlife/Hiplife
 Senegal;25000;18-35; Mbalax and Jazz Fans;XOF£10£million;Mbalax/Jazz
 Ivory Coast;40000;18-35; CoupÃ©-DÃ©calÃ© and Pop Fans;XOF£20£million;CoupÃ©-DÃ©calÃ©/Pop
 Cameroon;30000;18-40; Makossa and Bikutsi Fans;XAF£15£million;Makossa/Bikutsi
 Uganda;20000;18-40; Afrobeat and Dancehall Fans;UGX£5£billion;Afrobeat/Dancehall
 Zimbabwe;45000;18-35; ZimDancehall and Sungura Fans;ZWL£20£million;ZimDancehall/Sungura
 Zambia;25000;18-35; Kalindula and Hip-Hop Fans;ZMW£10£million;Kalindula/Hip-Hop
 Botswana;30000;18-35; Motswako and House Music Fans;BWP£15£million;Motswako/House
 Namibia;20000;18-35; Kwaito and Pop Fans;NAD£10£million;Kwaito/Pop
 Finland;25000;18-35; Folk Metal Fans;£12£million;Folk Metal
 Ukraine;50000;18-35; Rock and Electronic Fans;UAH£30£million;Rock/Electronic
 Chile;30000;18-35; Indie and Pop Fans;CLP£15£million;Indie/Pop
 Peru;25000;18-35; Rock and Cumbia Fans;PEN£10£million;Rock/Cumbia
 Iceland;20000;18-40; Alternative and Indie Fans;ISK£1£billion;Alternative/Indie
 Malta;15000;18-35; EDM and Pop Fans;£8£million;EDM/Pop
 Latvia;10000;18-35; Rock and Folk Fans;£5£million;Rock/Folk
 Estonia;15000;18-40; Electronic and Indie Fans;£7£million;Electronic/Indie
 Lithuania;20000;18-35; Rock and Jazz Fans;£10£million;Rock/Jazz
 Luxembourg;12000;18-40; Diverse Music Genres;£6£million;Various
 Cyprus;10000;18-35; Pop and Rock Fans;£4£million;Pop/Rock
 Slovakia;15000;18-40; Rock and Electronic Fans;£7£million;Rock/Electronic
 Slovenia;18000;18-35; Alternative and Indie Fans;£9£million;Alternative/Indie
 Croatia;25000;18-35; Rock and EDM Fans;£12£million;Rock/EDM
 Portugal;30000;18-35; Fado and Indie Fans;£15£million;Fado/Indie
 Ukraine;40000;18-40; Jazz and Rock Fans;UAH£25£million;Jazz/Rock
 Belarus;20000;18-35; Electronic and Rock Fans;BYN£10£million;Electronic/Rock
 Moldova;15000;18-40; Folk and Jazz Fans;MDL£8£million;Folk/Jazz
 Albania;10000;18-35; Rock and Pop Fans;£5£million;Rock/Pop
 Kosovo;12000;18-35; Electronic and Indie Fans;£6£million;Electronic/Indie
 Montenegro;10000;18-40; Rock and Jazz Fans;£5£million;Rock/Jazz
 Bosnia and Herzegovina;15000;18-35; Electronic and Folk Fans;BAM£7£million;Electronic/Folk
 Macedonia;20000;18-35; Rock and Pop Fans;MKD£10£million;Rock/Pop
 Armenia;15000;18-35; Jazz and Folk Fans;AMD£8£million;Jazz/Folk
 Georgia;18000;18-35; Rock and Electronic Fans;GEL£9£million;Rock/Electronic
 Azerbaijan;20000;18-40; Jazz and Mugham Fans;AZN£10£million;Jazz/Mugham
 Kazakhstan;25000;18-35; Rock and Pop Fans;KZT£12£million;Rock/Pop
 Uzbekistan;20000;18-35; Pop and Folk Fans;UZS£10£million;Pop/Folk
 Kyrgyzstan;15000;18-40; Rock and Jazz Fans;KGS£8£million;Rock/Jazz
 Tajikistan;10000;18-35; Pop and Rock Fans;TJS£5£million;Pop/Rock
 Turkmenistan;12000;18-40; Traditional and Pop Fans;TMT£6£million;Traditional/Pop
 Mongolia;15000;18-35; Rock and Electronic Fans;MNT£8£million;Rock/Electronic
 Cambodia;20000;18-35; Pop and Rock Fans;KHR£10£million;Pop/Rock
 Laos;15000;18-40; Folk and Electronic Fans;LAK£8£million;Folk/Electronic
 Myanmar;20000;18-35; Rock and Pop Fans;MMK£10£million;Rock/Pop
 Bangladesh;30000;18-35; Rock and Folk Fans;BDT£15£million;Rock/Folk
 Nepal;20000;18-35; Rock and Jazz Fans;NPR£10£million;Rock/Jazz
 Bhutan;15000;18-40; Traditional and Folk Fans;BTN£8£million;Traditional/Folk
 Sri Lanka;25000;18-35; Pop and Rock Fans;LKR£12£million;Pop/Rock
  Fiji;15000;18-40; Reggae and Folk Fans;FJD£8£million;Reggae/Folk
 Tonga;10000;18-35; Traditional and Pop Fans;TOP£5£million;Traditional/Pop
 Samoa;8000;18-35; Rock and Jazz Fans;WST£4£million;Rock/Jazz
 Vanuatu;12000;18-40; Folk and Reggae Fans;VUV£6£million;Folk/Reggae
 Papua New Guinea;15000;18-35; Traditional and Pop Fans;PGK£8£million;Traditional/Pop
 Solomon Islands;10000;18-35; Folk and Jazz Fans;SBD£5£million;Folk/Jazz
 Kiribati;8000;18-35; Pop and Rock Fans;AUD£4£million;Pop/Rock
 Maldives;15000;18-40; Electronic and Pop Fans;MVR£8£million;Electronic/Pop
 Brunei;12000;18-35; Rock and Jazz Fans;BND£6£million;Rock/Jazz
 East Timor;10000;18-35; Folk and Pop Fans;USD£5£million;Folk/Pop
 Andorra;8000;18-35; Rock and Electronic Fans;£4£million;Rock/Electronic
 San Marino;10000;18-35; Pop and Jazz Fans;£5£million;Pop/Jazz
 Liechtenstein;8000;18-35; Rock and Folk Fans;CHF£4£million;Rock/Folk
 Monaco;12000;18-40; Jazz and Electronic Fans;£6£million;Jazz/Electronic
 Vatican City;5000;18-60; Classical and Choral Fans;£2£million;Classical/Choral
 Belarus;20000;18-40; Rock and Pop Fans;BYN£10£million;Rock/Pop
 Paraguay;30000;18-35; Rock and Cumbia Fans;PYG£15£million;Rock/Cumbia
 Uruguay;20000;18-35; Jazz and Folk Fans;UYU£10£million;Jazz/Folk
 Bolivia;25000;18-35; Rock and Pop Fans;BOB£12£million;Rock/Pop
 Ecuador;30000;18-35; Folk and Rock Fans;USD£15£million;Folk/Rock
 Panama;20000;18-35; Jazz and Reggae Fans;PAB£10£million;Jazz/Reggae
 Costa Rica;15000;18-35; Rock and Electronic Fans;CRC£8£million;Rock/Electronic
 El Salvador;10000;18-35; Pop and Rock Fans;USD£5£million;Pop/Rock
 Honduras;12000;18-35; Rock and Folk Fans;HNL£6£million;Rock/Folk
 Nicaragua;15000;18-40; Electronic and Jazz Fans;NIO£8£million;Electronic/Jazz
 Guatemala;20000;18-35; Rock and Pop Fans;GTQ£10£million;Rock/Pop
 Belize;10000;18-35; Reggae and Jazz Fans;BZD£5£million;Reggae/Jazz
 Barbados;15000;18-35; Calypso and Pop Fans;BBD£8£million;Calypso/Pop
 Jamaica;30000;18-35; Reggae and Dancehall Fans;JMD£15£million;Reggae/Dancehall
 Trinidad and Tobago;20000;18-35; Soca and Calypso Fans;TTD£10£million;Soca/Calypso
 Saint Lucia;8000;18-35; Jazz and Folk Fans;XCD£4£million;Jazz/Folk
 Saint Vincent and the Grenadines;10000;18-35; Reggae and Pop Fans;XCD£5£million;Reggae/Pop
 Dominica;8000;18-35; Folk and Jazz Fans;XCD£4£million;Folk/Jazz
 Grenada;12000;18-40; Calypso and Rock Fans;XCD£6£million;Calypso/Rock
 Antigua and Barbuda;15000;18-35; Soca and Pop Fans;XCD£8£million;Soca/Pop
 Saint Kitts and Nevis;10000;18-35; Jazz and Rock Fans;XCD£5£million;Jazz/Rock
 Bahamas;20000;18-35; Reggae and Junkanoo Fans;BSD£10£million;Reggae/Junkanoo
 Aruba;8000;18-35; Rock and Jazz Fans;AWG£4£million;Rock/Jazz
 Curacao;12000;18-40; Electronic and Pop Fans;ANG£6£million;Electronic/Pop
 Bonaire;10000;18-35; Jazz and Folk Fans;USD£5£million;Jazz/Folk
 Sint Eustatius;8000;18-35; Reggae and Rock Fans;USD£4£million;Reggae/Rock
 Saba;5000;18-35; Pop and Folk Fans;USD£2£million;Pop/Folk
 Anguilla;8000;18-35; Jazz and Calypso Fans;XCD£4£million;Jazz/Calypso
 British Virgin Islands;10000;18-35; Reggae and Rock Fans;USD£5£million;Reggae/Rock
 Cayman Islands;15000;18-35; Pop and Jazz Fans;KYD£8£million;Pop/Jazz
 Bermuda;12000;18-40; Rock and Folk Fans;BMD£6£million;Rock/Folk
 Falkland Islands;5000;18-35; Folk and Jazz Fans;FKP£2£million;Folk/Jazz
 Fiji;15000;18-40; Reggae and Folk Fans;FJD£8£million;Reggae/Folk
